id;title;price;condition;category;description;size_item;brand;colour;time_listed
1;quicker;11031.2;FAIRLYUSED;BAGS;../fake-data/blob/hipster.txt;reword;fortunately;medium hopeful glow;2025-02-13T06:12:25
2;unexpectedly;21103.35;BRANDNEW;OTHERS;../fake-data/blob/hipster.txt;surprised;bravely;which zowie via;2025-02-12T20:14:45
3;ohX;3106.17;FAIRLYUSED;HEADWEAR;../fake-data/blob/hipster.txt;ouch airbrush;attest;insist onto devise;2025-02-13T10:37:37
4;exhaust;31594.33;HEAVILYUSED;CLOTHING;../fake-data/blob/hipster.txt;wherever arbitrate reboot;regarding circle despite;around;2025-02-12T17:09:19
5;dimly;25201.37;HEAVILYUSED;OTHERS;../fake-data/blob/hipster.txt;consequently since;who obligation phooey;fictionalize despite;2025-02-13T01:51:23
6;quit mechanically psst;7556.47;BRANDNEW;FOOTWEAR;../fake-data/blob/hipster.txt;outstanding acceptable;commonly;minority;2025-02-13T00:50:32
7;sprinkles until anenst;24461.88;WELLUSED;CLOTHING;../fake-data/blob/hipster.txt;behind regularly;ouch finally funny;gosh;2025-02-13T09:29:15
8;wholly championship hmph;24108.53;BRANDNEW;HEADWEAR;../fake-data/blob/hipster.txt;obedient plump;institute orchestrate;seldom;2025-02-12T18:20:45
9;insidious;6869.98;FAIRLYUSED;OTHERS;../fake-data/blob/hipster.txt;deduction;forenenst shear;despite wry;2025-02-12T17:15:04
10;abacus;27323.9;HEAVILYUSED;HOBBIES;../fake-data/blob/hipster.txt;to;ultimately for;untried;2025-02-12T16:37:46
