id;address;latitude;longitude;postcode
1;whether hawk which;12377.98;12846.58;or trench
2;swing;7845.43;32728.32;depute beside positively
3;hmph;3023.01;4865.38;severe
4;scram ample anti;30570.6;16128.74;er questionably
5;aftermath wear regularly;28.5;18701.43;synthesise round
6;amidst trek readjust;31531.44;12021.27;and far
7;inasmuch kookily informal;27161.01;11478.92;now
8;rim grown dual;9765.03;18815.14;hm ha among
9;wrongly;7263.96;21246.49;save moment
10;innocently;25504.22;2827.18;once pillory but
