id;bio_image;bio_image_content_type;user_name;birth_date
1;../fake-data/blob/hipster.png;image/png;"!R!(";2025-03-08
2;../fake-data/blob/hipster.png;image/png;"B$iDK";2025-03-08
3;../fake-data/blob/hipster.png;image/png;"D";2025-03-09
4;../fake-data/blob/hipster.png;image/png;"eaGmlL";2025-03-09
5;../fake-data/blob/hipster.png;image/png;"`}[sU";2025-03-09
6;../fake-data/blob/hipster.png;image/png;"%";2025-03-09
7;../fake-data/blob/hipster.png;image/png;"(Oo";2025-03-09
8;../fake-data/blob/hipster.png;image/png;"W";2025-03-09
9;../fake-data/blob/hipster.png;image/png;"*'k";2025-03-09
10;../fake-data/blob/hipster.png;image/png;"Y";2025-03-08
