id;reservation_date;expiration_date;status
1;2025-02-12T14:50:04;2025-02-12T14:14:18;CONFIRMED
2;2025-02-12T13:17:02;2025-02-12T18:47:30;CONFIRMED
3;2025-02-13T03:46:02;2025-02-13T03:53:20;CANCELLED
4;2025-02-12T13:17:40;2025-02-13T10:36:42;CONFIRMED
5;2025-02-13T11:11:15;2025-02-12T14:23:57;CANCELLED
6;2025-02-12T23:06:07;2025-02-12T12:06:44;CANCELLED
7;2025-02-13T02:07:55;2025-02-13T11:20:07;PENDING
8;2025-02-12T23:41:06;2025-02-13T05:52:50;CONFIRMED
9;2025-02-12T23:32:03;2025-02-12T15:50:39;CANCELLED
10;2025-02-13T00:47:04;2025-02-13T05:49:17;CONFIRMED
