id;bio_image;bio_image_content_type;user_name;birth_date
1;../fake-data/blob/hipster.png;image/png;"MI[($&";2025-02-12
2;../fake-data/blob/hipster.png;image/png;"1)!/x";2025-02-12
3;../fake-data/blob/hipster.png;image/png;"HcEs";2025-02-12
4;../fake-data/blob/hipster.png;image/png;"zK";2025-02-13
5;../fake-data/blob/hipster.png;image/png;"uumQEf";2025-02-13
6;../fake-data/blob/hipster.png;image/png;"+CISQ";2025-02-13
7;../fake-data/blob/hipster.png;image/png;"x0t|z";2025-02-13
8;../fake-data/blob/hipster.png;image/png;"4u;.";2025-02-13
9;../fake-data/blob/hipster.png;image/png;"#7sST";2025-02-13
10;../fake-data/blob/hipster.png;image/png;"r";2025-02-12
