id;search_query;filters;search_date
1;famously pacemaker authentic;newsprint tomorrow old;2025-02-27T02:43:02
2;oil;tremendously courtroom;2025-02-27T05:11:50
3;detective worthless;starch;2025-02-27T12:43:39
4;the abaft;musty pace mmm;2025-02-27T09:05:02
5;bolster dreamily ferret;populist;2025-02-26T15:49:11
6;jaggedly;circa imaginative than;2025-02-27T06:32:37
7;who spew;that mmm till;2025-02-26T18:17:41
8;wedge although;since personalise;2025-02-27T04:56:38
9;cruelly;hence vice;2025-02-27T04:43:41
10;bah;separately beside;2025-02-26T19:44:02
